Year,Ceremony_Number,Decade,Era,Category,Award_Group,Winner,Artist,Status,Total_Wins,Category_Total_Winners,Data_Source,Collection_Date
2026,68,2020,2020s,Album of the Year,Big Four,Debí Tirar Más Fotos,Bad Bunny,Winner,1,69,Wikipedia,2026-02-08
2026,68,2020,2020s,Best New Artist,Big Four,Olivia Dean,Olivia Dean,Winner,1,67,Wikipedia,2026-02-08
2026,68,2020,2020s,Best Pop Vocal Album,Genre,"Lady Gaga Cirkut, Lady Gaga & Andrew Watt (producers) Serban Ghenea & Paul Lamalfa (engineers/mixers)",Mayhem,Winner,1,33,Wikipedia,2026-02-08
2026,68,2020,2020s,Record of the Year,Big Four,Luther,Kendrick Lamar & SZA,Winner,1,69,Wikipedia,2026-02-08
2026,68,2020,2020s,Song of the Year,Big Four,Billie Eilish O'ConnellFinneas O'Connell,Wildflower,Winner,1,73,Wikipedia,2026-02-08
2025,67,2020,2020s,Best New Artist,Big Four,Chappell Roan,Chappell Roan,Winner,1,67,Wikipedia,2026-02-08
2025,67,2020,2020s,Best Pop Vocal Album,Genre,"Sabrina Carpenter John Ryan (producer) Bryce Bordone, Serban Ghenea & Jeff Gunnell (engineers/mixers)",Short n' Sweet,Winner,1,33,Wikipedia,2026-02-08
2025,67,2020,2020s,Record of the Year,Big Four,Not Like Us,Kendrick Lamar,Winner,1,69,Wikipedia,2026-02-08
2025,67,2020,2020s,Song of the Year,Big Four,Kendrick Lamar,"Not Like Us"" *",Winner,1,73,Wikipedia,2026-02-08
2024,66,2020,2020s,Album of the Year,Big Four,Midnights,Taylor Swift,Winner,4,69,Wikipedia,2026-02-08
2024,66,2020,2020s,Best New Artist,Big Four,Victoria Monét,Victoria Monét,Winner,1,67,Wikipedia,2026-02-08
2024,66,2020,2020s,Best Pop Vocal Album,Genre,"Taylor Swift Jack Antonoff & Taylor Swift (producers) Jack Antonoff, Bryce Bordone, Serban Ghenea & Laura Sisk (engineers/mixers)",Midnights,Winner,1,33,Wikipedia,2026-02-08
2024,66,2020,2020s,Record of the Year,Big Four,Flowers,Miley Cyrus,Winner,1,69,Wikipedia,2026-02-08
2024,66,2020,2020s,Song of the Year,Big Four,Billie Eilish O'Connell Finneas O'Connell,What Was I Made For?,Winner,1,73,Wikipedia,2026-02-08
2024,66,2020,2020s,Song of the Year,Big Four,What Was I Made For?,Billie Eilish & Finneas O'Connell,Winner,2,73,Wikipedia,2026-02-08
2023,65,2020,2020s,Album of the Year,Big Four,Harry's House,Harry Styles,Winner,1,69,Wikipedia,2026-02-08
2023,65,2020,2020s,Best New Artist,Big Four,Samara Joy,Samara Joy,Winner,1,67,Wikipedia,2026-02-08
2023,65,2020,2020s,Best Pop Vocal Album,Genre,Harry Styles Kid Harpoon & Tyler Johnson (producers) Jeremy Hatcher & Spike Stent (engineers/mixers),Harry's House,Winner,1,33,Wikipedia,2026-02-08
2023,65,2020,2020s,Record of the Year,Big Four,About Damn Time,Lizzo,Winner,1,69,Wikipedia,2026-02-08
2023,65,2020,2020s,Song of the Year,Big Four,Bonnie Raitt,Just Like That,Winner,1,73,Wikipedia,2026-02-08
2023,65,2020,2020s,Song of the Year,Big Four,Just Like That,Bonnie Raitt,Winner,2,73,Wikipedia,2026-02-08
2022,64,2020,2020s,Album of the Year,Big Four,We Are,Jon Batiste,Winner,1,69,Wikipedia,2026-02-08
2022,64,2020,2020s,Best New Artist,Big Four,Olivia Rodrigo,Olivia Rodrigo,Winner,1,67,Wikipedia,2026-02-08
2022,64,2020,2020s,Best Pop Vocal Album,Genre,Olivia Rodrigo Daniel Nigro (producer) Mitch McCarthy & Daniel Nigro (engineers/mixers),Sour,Winner,1,33,Wikipedia,2026-02-08
2022,64,2020,2020s,Record of the Year,Big Four,Leave the Door Open,Silk Sonic,Winner,2,69,Wikipedia,2026-02-08
