Artist,Total_Wins,First_Win_Year,Last_Win_Year,Sample_Categories,Rank
Adele,5,2009,2017,"Album of the Year, Record of the Year, Best New Artist",1
Billie Eilish,4,2020,2021,"Record of the Year, Album of the Year, Best New Artist",2
Frank Sinatra,4,1960,1967,"Album of the Year, Record of the Year",3
U2,4,1988,2006,"Album of the Year, Record of the Year",4
Taylor Swift,4,2010,2024,Album of the Year,5
Henry Mancini,3,1959,1964,"Record of the Year, Album of the Year",6
Eric Clapton,3,1993,1997,"Record of the Year, Album of the Year",7
Christopher Cross,3,1981,1981,"Album of the Year, Best New Artist, Record of the Year",8
Norah Jones,3,2003,2003,"Album of the Year, Best New Artist, Record of the Year",9
Paul Simon,3,1976,1988,"Record of the Year, Album of the Year",10
Stevie Wonder,3,1974,1977,Album of the Year,11
Simon & Garfunkel,3,1969,1971,"Album of the Year, Record of the Year",12
Bruno Mars,2,2018,2018,"Album of the Year, Record of the Year",13
Celine Dion,2,1997,1999,"Record of the Year, Album of the Year",14
Billie Eilish & Finneas O'Connell,2,2020,2024,Song of the Year,15
Bobby Darin,2,1959,1960,"Best New Artist, Record of the Year",16
Lauryn Hill,2,1999,1999,"Album of the Year, Best New Artist",17
Bob Newhart,2,1961,1961,"Album of the Year, Best New Artist",18
Robert Plant & Alison Krauss,2,2009,2009,"Album of the Year, Record of the Year",19
The Beatles,2,1965,1968,"Album of the Year, Best New Artist",20
